"","Regulon","CellType","RelativeActivity"
"1","ADNP2(+)","CD8+T",0.0394084325051314
"3","ARID5B(+)","CD8+T",0.144841267512403
"6","ARNTL2(+)","CD8+T",0.228442753710075
"7","ASCL2(+)","CD8+T",0.785160459840275
"8","ATF1(+)","CD8+T",0.0768262558100911
"14","ATF6B(+)","CD8+T",0.5821138494627
"17","BACH2(+)","CD8+T",0.34639635798836
"18","BATF(+)","CD8+T",0.45263795388232
"20","BBX(+)","CD8+T",0.258116654504747
"22","BCL11B(+)","CD8+T",1.18776796244852
"25","BCLAF1(+)","CD8+T",0.0457410027624357
"26","BDP1(+)","CD8+T",0.420058104462024
"27","BHLHE40(+)","CD8+T",0.383421013045328
"28","BPTF(+)","CD8+T",0.391725199678562
"29","BRCA1(+)","CD8+T",1.63711997193233
"30","BRF1(+)","CD8+T",0.375342307926441
"31","BRF2(+)","CD8+T",0.860899011301701
"38","CEBPZ(+)","CD8+T",0.673769844956357
"39","CHD2(+)","CD8+T",0.267156375169904
"43","CREB3(+)","CD8+T",0.578132046378593
"46","CREM(+)","CD8+T",0.463593880002139
"47","CTCF(+)","CD8+T",0.626335335120523
"50","E2F1(+)","CD8+T",0.440804066358637
"53","E2F4(+)","CD8+T",0.503329835258722
"54","E2F6(+)","CD8+T",0.145212836187281
"63","ELK1(+)","CD8+T",0.0179308364421156
"66","EOMES(+)","CD8+T",1.11180355263312
"70","ETS1(+)","CD8+T",0.994803176631351
"72","ETV2(+)","CD8+T",0.245471324069142
"76","EZH2(+)","CD8+T",0.491515064543708
"82","FOXD2(+)","CD8+T",0.837498249089789
"84","FOXJ3(+)","CD8+T",0.0825521528855915
"85","FOXK1(+)","CD8+T",0.404597907921075
"87","FOXN2(+)","CD8+T",0.421982687621102
"90","FOXO4(+)","CD8+T",0.582946631753631
"91","FOXP1(+)","CD8+T",0.326095305497375
"92","FOXP3(+)","CD8+T",0.92620944302211
"94","GABPA(+)","CD8+T",0.246962423685756
"95","GABPB1(+)","CD8+T",0.377349535707529
"98","GATA3(+)","CD8+T",0.605795263920232
"99","GSC(+)","CD8+T",0.0825145997454764
"102","GTF3C2(+)","CD8+T",0.274951293780444
"104","HDAC2(+)","CD8+T",0.0866155228433968
"106","HES6(+)","CD8+T",0.75620473626159
"107","HIVEP2(+)","CD8+T",0.0712099518653422
"109","HOXA10(+)","CD8+T",0.763013292505298
"111","HOXB7(+)","CD8+T",0.775044909555805
"112","IKZF1(+)","CD8+T",0.758573771729905
"116","IRF3(+)","CD8+T",0.939108481938246
"117","IRF4(+)","CD8+T",0.144676313025096
"121","IRF9(+)","CD8+T",0.253150932290902
"123","JUN(+)","CD8+T",0.225397257370987
"126","KDM5A(+)","CD8+T",0.81213610692257
"127","KDM5B(+)","CD8+T",0.142705730736914
"131","KLF12(+)","CD8+T",0.445968304412437
"132","KLF13(+)","CD8+T",0.23286854352931
"134","KLF2(+)","CD8+T",0.471808728216016
"140","LEF1(+)","CD8+T",0.922543871163065
"146","MAZ(+)","CD8+T",1.05774716884678
"149","MEF2D(+)","CD8+T",0.0693530093441492
"150","MGA(+)","CD8+T",0.487410424374099
"155","MTA3(+)","CD8+T",0.664509173775047
"158","MYBL1(+)","CD8+T",1.19270976671144
"159","MYBL2(+)","CD8+T",0.370877783947654
"160","MYC(+)","CD8+T",0.49416315852163
"161","MYCL(+)","CD8+T",0.437312505848027
"162","MYEF2(+)","CD8+T",1.13575004569304
"165","NFATC1(+)","CD8+T",0.64733479188646
"166","NFATC2(+)","CD8+T",1.10744855673714
"168","NFE2L1(+)","CD8+T",0.275055536879711
"170","NFE2L3(+)","CD8+T",0.339268363683226
"183","NR2C2(+)","CD8+T",0.371854627955683
"188","PAX8(+)","CD8+T",0.522821044012793
"191","PHF2(+)","CD8+T",0.472378513280851
"194","PLAG1(+)","CD8+T",0.572629902340791
"195","PLAGL1(+)","CD8+T",0.111756599245015
"200","POLR2A(+)","CD8+T",0.0468060669237423
"203","PPARD(+)","CD8+T",1.20090942217329
"204","PRDM1(+)","CD8+T",1.07544608802805
"207","RARG(+)","CD8+T",0.025645513815859
"211","RELA(+)","CD8+T",0.04902590202829
"213","REST(+)","CD8+T",0.319349215187736
"214","RFX1(+)","CD8+T",0.340847343744338
"215","RFX2(+)","CD8+T",0.720157763788796
"216","RFX3(+)","CD8+T",0.57647192760964
"218","RFXANK(+)","CD8+T",0.521545446605639
"219","RFXAP(+)","CD8+T",0.25313132517618
"220","RUNX2(+)","CD8+T",0.282712721758925
"221","RUNX3(+)","CD8+T",0.788067446490288
"223","RXRB(+)","CD8+T",0.658132083875574
"226","SIN3A(+)","CD8+T",0.0830904062422279
"228","SMARCA4(+)","CD8+T",0.46053597574158
"231","SMC3(+)","CD8+T",0.787726006615603
"233","SNAPC4(+)","CD8+T",0.115212493416975
"234","SOX15(+)","CD8+T",0.161218211233694
"240","SP4(+)","CD8+T",0.768520919046163
"242","SPIB(+)","CD8+T",0.24124739968575
"251","SUPT20H(+)","CD8+T",0.829108538668838
"254","TBL1XR1(+)","CD8+T",0.412476527602977
"256","TBPL1(+)","CD8+T",0.463767533507647
"257","TBX21(+)","CD8+T",1.01751232772523
"266","THAP1(+)","CD8+T",0.578167663598916
"267","THAP11(+)","CD8+T",0.356703109424846
"268","THRA(+)","CD8+T",0.599804622620986
"282","ZEB1(+)","CD8+T",0.0388392677910009
"293","ZNF317(+)","CD8+T",0.569960354663318
"297","ZNF444(+)","CD8+T",0.693004508713157
"298","ZNF45(+)","CD8+T",0.725998522218006
"303","ZNF568(+)","CD8+T",0.526046218440526
"306","ZNF600(+)","CD8+T",0.233445496498986
"311","ZNF76(+)","CD8+T",0.0592810570913752
"312","ZNF765(+)","CD8+T",0.107137867235303
"315","ZNF8(+)","CD8+T",1.08292073214441
"319","ARID3A(+)","CD14+Mono",1.95583209929823
"321","ARNT(+)","CD14+Mono",1.8717505694727
"322","ARNTL(+)","CD14+Mono",1.20807974577377
"323","ARNTL2(+)","CD14+Mono",0.453498236622007
"325","ATF1(+)","CD14+Mono",1.61727871102745
"326","ATF2(+)","CD14+Mono",1.26637222523804
"327","ATF3(+)","CD14+Mono",1.30928054791641
"328","ATF4(+)","CD14+Mono",1.46185771490282
"329","ATF5(+)","CD14+Mono",1.07219027575805
"330","ATF6(+)","CD14+Mono",1.61934028433456
