"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CCL5",0,2.20531532456254,0.906,0.194,0,"0","CCL5"
"GZMH",0,2.20369178573356,0.666,0.13,0,"0","GZMH"
"CD3D",0,2.17242805161663,0.571,0.09,0,"0","CD3D"
"LINC01871",0,2.04410357787296,0.398,0.05,0,"0","LINC01871"
"IL32",0,2.02124561788384,0.803,0.203,0,"0","IL32"
"CD3G",0,1.99198100059263,0.457,0.071,0,"0","CD3G"
"CD8A",0,1.97249719337218,0.298,0.023,0,"0","CD8A"
"CD8B",0,1.86724638562075,0.253,0.016,0,"0","CD8B"
"CD3E",0,1.80340548529595,0.58,0.131,0,"0","CD3E"
"TRGC2",0,1.79829091568638,0.308,0.03,0,"0","TRGC2"
"TRAC",0,1.75684927291666,0.476,0.099,0,"0","TRAC"
"TRBC2",0,1.6859004838748,0.502,0.146,0,"0","TRBC2"
"NKG7",0,1.64692399354139,0.912,0.237,0,"0","NKG7"
"KLRG1",0,1.62509097629874,0.286,0.032,0,"0","KLRG1"
"CD2",0,1.56493133932514,0.331,0.069,0,"0","CD2"
"GZMA",0,1.4697634614184,0.611,0.15,0,"0","GZMA"
"GZMM",0,1.35242819826173,0.428,0.117,0,"0","GZMM"
"LYAR",0,1.30755565125209,0.253,0.059,0,"0","LYAR"
"CD52",0,1.26870510289782,0.79,0.47,0,"0","CD52"
"LIME1",0,1.26718204163751,0.368,0.116,0,"0","LIME1"
"CST7",0,1.24288958312456,0.638,0.187,0,"0","CST7"
"HCST",0,1.2369321043862,0.673,0.349,0,"0","HCST"
"RORA",0,1.19601032000632,0.294,0.088,0,"0","RORA"
"C12orf75",0,1.18904461695536,0.336,0.099,0,"0","C12orf75"
"BCL11B",0,1.09853537524288,0.291,0.088,0,"0","BCL11B"
"GZMB",0,1.08948169699446,0.494,0.155,0,"0","GZMB"
"RPS27",0,1.08416837091548,0.994,0.834,0,"0","RPS27"
"RPS29",0,1.08225512463263,0.96,0.707,0,"0","RPS29"
"GNLY",0,1.06994286882113,0.772,0.24,0,"0","GNLY"
"PPP2R5C",0,1.06904346821299,0.564,0.286,0,"0","PPP2R5C"
"FGFBP2",0,1.05588073662826,0.478,0.144,0,"0","FGFBP2"
"KLRD1",0,0.993813763731599,0.428,0.148,0,"0","KLRD1"
