"","Regulon","CellType","RelativeActivity"
"1","AHCTF1(+)","NEU(1)",0.396650111022149
"2","ARID3A(+)","NEU(1)",1.40335077681659
"3","ARID5A(+)","NEU(1)",0.154935880241876
"8","ATF1(+)","NEU(1)",0.233585288161782
"9","ATF2(+)","NEU(1)",0.744644230295793
"12","ATF5(+)","NEU(1)",0.281852016140732
"13","ATF6(+)","NEU(1)",1.95665460837827
"14","ATF7(+)","NEU(1)",1.36057716820507
"15","BACH1(+)","NEU(1)",0.247397621333215
"19","BCL3(+)","NEU(1)",0.922929979404934
"20","BCL6(+)","NEU(1)",2.23884326463463
"23","BPTF(+)","NEU(1)",0.690294410852316
"24","BRF1(+)","NEU(1)",0.569005119010977
"28","CEBPD(+)","NEU(1)",0.176690498171664
"29","CEBPE(+)","NEU(1)",0.24943670521573
"32","CHD2(+)","NEU(1)",0.137314724691049
"33","CNOT3(+)","NEU(1)",0.715806527842178
"34","CREB1(+)","NEU(1)",1.68921352522957
"37","CREB3L4(+)","NEU(1)",1.60446053932049
"38","CREB5(+)","NEU(1)",2.30840458594247
"44","DEAF1(+)","NEU(1)",2.0739607363045
"47","E2F3(+)","NEU(1)",0.612797987817854
"48","E2F4(+)","NEU(1)",0.00941433479048499
"52","EGR2(+)","NEU(1)",0.664534555416075
"53","EGR3(+)","NEU(1)",1.11832041849951
"54","ELF1(+)","NEU(1)",0.078841975975088
"55","ELF2(+)","NEU(1)",0.571872365770412
"56","ELF3(+)","NEU(1)",0.210442024445547
"57","ELF4(+)","NEU(1)",0.413438266090568
"61","EP300(+)","NEU(1)",0.674334115577125
"62","ERF(+)","NEU(1)",0.333393237672727
"64","ETS1(+)","NEU(1)",0.281198152234157
"65","ETS2(+)","NEU(1)",0.0817876382325194
"66","ETV2(+)","NEU(1)",0.311970106431531
"67","ETV3(+)","NEU(1)",0.92643370521981
"70","ETV7(+)","NEU(1)",0.0106928116995095
"73","FOS(+)","NEU(1)",0.608962581801218
"74","FOSB(+)","NEU(1)",0.806872538615881
"75","FOSL1(+)","NEU(1)",0.0684679208182877
"76","FOSL2(+)","NEU(1)",0.245897743781719
"77","FOXJ2(+)","NEU(1)",0.243601753138472
"78","FOXJ3(+)","NEU(1)",1.53270926030489
"79","FOXK2(+)","NEU(1)",0.350825532931748
"80","FOXN2(+)","NEU(1)",1.10301520272794
"81","FOXO1(+)","NEU(1)",1.07629510346073
"82","FOXO3(+)","NEU(1)",0.775616854645927
"83","FOXO4(+)","NEU(1)",0.104613346722714
"84","FOXP1(+)","NEU(1)",0.483776074065074
"85","FOXP4(+)","NEU(1)",0.865713882592711
"86","GABPA(+)","NEU(1)",0.0143470083444177
